pipeline_id,pipeline_name,topology_class,n_states_register,n_states_reached,states_register,states_reached,states_not_reached,n_nodes,n_nodes_unresolved,all_nodes_located,coverage_verdict,evidence_note,provenance_category
18.03.NGPL,Low Pressure Gujarat Gas Grid,areal,1,NA,Gujarat,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
5.05.NGPL,Shahdol-Phulpur,linear,2,2,Madhya Pradesh; Uttar Pradesh,Madhya Pradesh; Uttar Pradesh,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
17.17.NGPL,Assam Regional Network,areal,1,NA,Assam,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.18.NGPL,Dukli - Maharajganj,linear,1,1,Tripura,Tripura,NONE,2,1,False,complete,every state the register records is entered by at least one named route point,C
17.19.NGPL,Uran-Taloja,linear,1,1,Maharashtra,Maharashtra,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
17.09.NGPL,Chainsa-Jhajjar-Hissar,linear,3,1,Delhi; Haryana; Rajasthan,Haryana,Delhi; Rajasthan,3,1,False,inconclusive_unresolved_node,"cannot be judged: 1 node(s) have no coordinate (Chainsa), so a state they would account for is indistinguishable from a state the name omits. NOT counted as a finding.",C
17.12.NGPL,Dadri-Bawana-Nangal,linear,6,3,Delhi; Haryana; Himachal Pradesh; Punjab; Uttar Pradesh; Uttarakhand,Delhi; Punjab; Uttar Pradesh,Haryana; Himachal Pradesh; Uttarakhand,3,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 3 state(s) none of them enters (Haryana, Himachal Pradesh, Uttarakhand). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
5.01.NGPL,Mehsana-Bhatinda,linear,4,2,Gujarat; Haryana; Punjab; Rajasthan,Gujarat; Punjab,Haryana; Rajasthan,2,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 2 state(s) none of them enters (Haryana, Rajasthan). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
5.02.NGPL,Bhatinda-Gurdaspur,linear,1,1,Punjab,Punjab,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,linear,6,3,Andhra Pradesh; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana,Andhra Pradesh; Madhya Pradesh; Rajasthan,Gujarat; Maharashtra; Telangana,4,1,False,inconclusive_unresolved_node,"cannot be judged: 1 node(s) have no coordinate (Vijaipur), so a state they would account for is indistinguishable from a state the name omits. NOT counted as a finding.",C
17.16.NGPL,Dabhol-Bangalore,linear,3,2,Goa; Karnataka; Maharashtra,Karnataka; Maharashtra,Goa,2,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 1 state(s) none of them enters (Goa). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
17.15.NGPL,Kochi-Koottanad-Bangalore-Mangalore,linear,4,2,Karnataka; Kerala; Puducherry; Tamil Nadu,Karnataka; Kerala,Puducherry; Tamil Nadu,4,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 2 state(s) none of them enters (Puducherry, Tamil Nadu). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
5.08.NGPL,Ennore-Tuticorin,linear,4,1,Andhra Pradesh; Karnataka; Puducherry; Tamil Nadu,Tamil Nadu,Andhra Pradesh; Karnataka; Puducherry,2,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 3 state(s) none of them enters (Andhra Pradesh, Karnataka, Puducherry). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,linear,6,6,Assam; Bihar; Jharkhand; Odisha; Uttar Pradesh; West Bengal,Assam; Bihar; Jharkhand; Odisha; Uttar Pradesh; West Bengal,NONE,7,0,True,complete,every state the register records is entered by at least one named route point,C
42.01.NGPL,North-East Natural Gas Pipeline Grid,areal,9,NA,Arunachal Pradesh; Assam; Manipur; Meghalaya; Mizoram; Nagaland; Sikkim; Tripura; West Bengal,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
5.13.NGPL,Mumbai-Nagpur-Jharsuguda,linear,4,2,Chhattisgarh; Madhya Pradesh; Maharashtra; Odisha,Maharashtra; Odisha,Chhattisgarh; Madhya Pradesh,3,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 2 state(s) none of them enters (Chhattisgarh, Madhya Pradesh). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
5.12.NGPL,Srikakulam-Angul,linear,2,2,Andhra Pradesh; Odisha,Andhra Pradesh; Odisha,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
5.07.NGPL,Ennore - Nellore,linear,2,2,Andhra Pradesh; Tamil Nadu,Andhra Pradesh; Tamil Nadu,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
5.10.NGPL,Kakinada-Vijayawada-Nellore,linear,1,1,Andhra Pradesh,Andhra Pradesh,NONE,3,0,True,complete,every state the register records is entered by at least one named route point,C
5.11.NGPL,Kanai - Chhata - Panitar,linear,1,0,West Bengal,NONE,West Bengal,2,2,False,inconclusive_unresolved_node,"cannot be judged: 2 node(s) have no coordinate (Kanai Chhata, Panitar), so a state they would account for is indistinguishable from a state the name omits. NOT counted as a finding.",C
21.17.NGPL,Jamnagar to Dwarka (Gujarat),linear,1,1,Gujarat,Gujarat,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
5.14.NGPL,Hazaribagh-Ranchi,linear,1,1,Jharkhand,Jharkhand,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
5.15.NGPL,Gurdaspur-Jammu,linear,2,2,Jammu and Kashmir; Punjab,Jammu and Kashmir; Punjab,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
