edge_id,pipeline_id,pipeline_name,operator_code,pipeline_category,status,segment_order,from_node_id,from_node_name,to_node_id,to_node_name,from_node_class,to_node_class,directed,direction_note,sequence_is_traversal,traversal_note,geometry_available,length_km,length_method,edge_status,gap_reason,edge_source,provenance_category
E028,17.15.NGPL,Kochi-Koottanad-Bangalore-Mangalore,GAIL,Common Carrier,Under Construction,1,N033,Kochi,N034,Koottanad,Terminal,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,91.827,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E029,17.15.NGPL,Kochi-Koottanad-Bangalore-Mangalore,GAIL,Common Carrier,Under Construction,2,N034,Koottanad,N004,Bangalore,IntermediateRoutePoint,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,293.066,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E030,17.15.NGPL,Kochi-Koottanad-Bangalore-Mangalore,GAIL,Common Carrier,Under Construction,3,N004,Bangalore,N037,Mangalore,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,297.12,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E031,5.08.NGPL,Ennore-Tuticorin,IOCL,Common Carrier,Under Construction,1,N018,Ennore,N053,Tuticorin,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,550.506,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E032,17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,GAIL,Common Carrier,Under Construction,1,N026,Jagdishpur,N021,Haldia,Interconnection,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,known branching trunk (JHBDPL / Urja Ganga); the printed order is not a single traversal,TRUE,888.168,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E033,17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,GAIL,Common Carrier,Under Construction,2,N021,Haldia,N010,Bokaro,IntermediateRoutePoint,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,known branching trunk (JHBDPL / Urja Ganga); the printed order is not a single traversal,TRUE,268.556,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E034,17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,GAIL,Common Carrier,Under Construction,3,N010,Bokaro,N015,Dhamra,IntermediateRoutePoint,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,known branching trunk (JHBDPL / Urja Ganga); the printed order is not a single traversal,TRUE,327.363,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E035,17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,GAIL,Common Carrier,Under Construction,4,N015,Dhamra,N046,Paradip,IntermediateRoutePoint,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,known branching trunk (JHBDPL / Urja Ganga); the printed order is not a single traversal,TRUE,60.294,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E036,17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,GAIL,Common Carrier,Under Construction,5,N046,Paradip,N005,Barauni,IntermediateRoutePoint,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,known branching trunk (JHBDPL / Urja Ganga); the printed order is not a single traversal,TRUE,579.265,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E037,17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,GAIL,Common Carrier,Under Construction,6,N005,Barauni,N020,Guwahati,IntermediateRoutePoint,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,known branching trunk (JHBDPL / Urja Ganga); the printed order is not a single traversal,TRUE,583.823,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E038,5.13.NGPL,Mumbai-Nagpur-Jharsuguda,GAIL,Common Carrier,Under Construction,1,N039,Mumbai,N040,Nagpur,Terminal,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,687.942,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E039,5.13.NGPL,Mumbai-Nagpur-Jharsuguda,GAIL,Common Carrier,Under Construction,2,N040,Nagpur,N030,Jharsuguda,IntermediateRoutePoint,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,516.004,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E040,5.12.NGPL,Srikakulam-Angul,GAIL,Common Carrier,Under Construction,1,N050,Srikakulam,N002,Angul,Terminal,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,308.466,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E041,5.07.NGPL,Ennore - Nellore,GTIL,Common Carrier,Under Construction,1,N018,Ennore,N042,Nellore,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,138.056,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E042,5.10.NGPL,Kakinada-Vijayawada-Nellore,IMC,Common Carrier,Under Construction,1,N031,Kakinada,N056,Vijayawada,Interconnection,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,176.954,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E043,5.10.NGPL,Kakinada-Vijayawada-Nellore,IMC,Common Carrier,Under Construction,2,N056,Vijayawada,N042,Nellore,IntermediateRoutePoint,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,238.421,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E044,5.11.NGPL,Kanai - Chhata - Panitar,HPPL,Common Carrier,Under Construction,1,N032,Kanai Chhata,N044,Panitar,Terminal,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,FALSE,NA,NA,gap_both_unresolved (unresolved/unresolved),no coordinate for Kanai Chhata and Panitar,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E045,21.17.NGPL,Jamnagar to Dwarka (Gujarat),GSPL,Common Carrier,Under Construction,1,N028,Jamnagar,N017,Dwarka,Terminal,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,116.109,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E046,5.14.NGPL,Hazaribagh-Ranchi,IOCL,Common Carrier,Under Construction,1,N022,Hazaribagh,N048,Ranchi,Terminal,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,72.104,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E047,5.15.NGPL,Gurdaspur-Jammu,GAIL,Common Carrier,Under Construction,1,N019,Gurdaspur,N027,Jammu,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,92.479,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
